c,d,avg,std
0.00006103515625000000,1,0.489945,0.00108289
0.00006103515625000000,2,0.489945,0.00108289
0.00006103515625000000,3,0.489945,0.00108289
0.00006103515625000000,4,0.489945,0.00108289
0.00012207031250000000,1,0.489945,0.00108289
0.00012207031250000000,2,0.489945,0.00108289
0.00012207031250000000,3,0.489945,0.00108289
0.00012207031250000000,4,0.489945,0.00108289
0.00024414062500000000,1,0.489945,0.00108289
0.00024414062500000000,2,0.489945,0.00108289
0.00024414062500000000,3,0.489945,0.00108289
0.00024414062500000000,4,0.489945,0.00108289
0.00048828125000000000,1,0.489945,0.00108289
0.00048828125000000000,2,0.489945,0.00108289
0.00048828125000000000,3,0.489945,0.00108289
0.00048828125000000000,4,0.489945,0.00108289
0.00097656250000000000,1,0.489945,0.00108289
0.00097656250000000000,2,0.489945,0.00108289
0.00097656250000000000,3,0.489945,0.00108289
0.00097656250000000000,4,0.489945,0.00108289
0.00195312500000000000,1,0.45165,0.0123726
0.00195312500000000000,2,0.489945,0.00108289
0.00195312500000000000,3,0.489945,0.00108289
0.00195312500000000000,4,0.489945,0.00108289
0.00390625000000000000,1,0.28694,0.0156242
0.00390625000000000000,2,0.489945,0.00108289
0.00390625000000000000,3,0.489945,0.00108289
0.00390625000000000000,4,0.489945,0.00108289
0.00781250000000000000,1,0.291404,0.0142031
0.00781250000000000000,2,0.283763,0.0249014
0.00781250000000000000,3,0.276093,0.00849969
0.00781250000000000000,4,0.489945,0.00108289
0.01562500000000000000,1,0.284378,0.0156068
0.01562500000000000000,2,0.276736,0.0194543
0.01562500000000000000,3,0.325568,0.0215126
0.01562500000000000000,4,0.318553,0.0240596
0.03125000000000000000,1,0.277355,0.0170464
0.03125000000000000000,2,0.271947,0.0110988
0.03125000000000000000,3,0.289828,0.0262238
0.03125000000000000000,4,0.345682,0.019868
0.06250000000000000000,1,0.269049,0.0192692
0.06250000000000000000,2,0.270024,0.0076206
0.06250000000000000000,3,0.273548,0.0197017
0.06250000000000000000,4,0.309613,0.0239208
0.12500000000000000000,1,0.264261,0.0193178
0.12500000000000000000,2,0.262682,0.0102665
0.12500000000000000000,3,0.267481,0.0146774
0.12500000000000000000,4,0.281206,0.0250059
0.25000000000000000000,1,0.258203,0.0187983
0.25000000000000000000,2,0.259808,0.0107707
0.25000000000000000000,3,0.267148,0.0115408
0.25000000000000000000,4,0.269716,0.0200835
0.50000000000000000000,1,0.247032,0.0155099
0.50000000000000000000,2,0.2563,0.00862312
0.50000000000000000000,3,0.262999,0.0133008
0.50000000000000000000,4,0.264923,0.0139625
1.00000000000000000000,1,0.232668,0.0210754
1.00000000000000000000,2,0.255032,0.0106862
1.00000000000000000000,3,0.260134,0.0111532
1.00000000000000000000,4,0.263961,0.0134735
2.00000000000000000000,1,0.220212,0.0228768
2.00000000000000000000,2,0.240026,0.0128235
2.00000000000000000000,3,0.258533,0.015243
2.00000000000000000000,4,0.261726,0.0146561
4.00000000000000000000,1,0.21383,0.0258248
4.00000000000000000000,2,0.225979,0.016884
4.00000000000000000000,3,0.247046,0.0138425
4.00000000000000000000,4,0.26045,0.0131435
8.00000000000000000000,1,0.209689,0.0267951
8.00000000000000000000,2,0.213206,0.0235812
8.00000000000000000000,3,0.231099,0.0196453
8.00000000000000000000,4,0.252787,0.0171754
16.00000000000000000000,1,0.208739,0.0258883
16.00000000000000000000,2,0.208099,0.0238172
16.00000000000000000000,3,0.217687,0.0200508
16.00000000000000000000,4,0.240344,0.0181525
32.00000000000000000000,1,0.20714,0.0254833
32.00000000000000000000,2,0.201717,0.0237998
32.00000000000000000000,3,0.206517,0.021752
32.00000000000000000000,4,0.230769,0.0218025
64.00000000000000000000,1,0.206186,0.0248285
64.00000000000000000000,2,0.198529,0.0219649
64.00000000000000000000,3,0.201401,0.0223039
64.00000000000000000000,4,0.215454,0.0227704
128.00000000000000000000,1,0.20459,0.0230498
128.00000000000000000000,2,0.198524,0.0213414
128.00000000000000000000,3,0.193106,0.0198064
128.00000000000000000000,4,0.206196,0.0214339
256.00000000000000000000,1,0.203635,0.0225896
256.00000000000000000000,2,0.19693,0.021792
256.00000000000000000000,3,0.191191,0.0216758
256.00000000000000000000,4,0.201411,0.0234454
512.00000000000000000000,1,0.203635,0.0235704
512.00000000000000000000,2,0.196615,0.022405
512.00000000000000000000,3,0.187682,0.0217654
512.00000000000000000000,4,0.196297,0.0226798
1024.00000000000000000000,1,0.204593,0.0231273
1024.00000000000000000000,2,0.196938,0.0203667
1024.00000000000000000000,3,0.190556,0.0205706
1024.00000000000000000000,4,0.192154,0.0233028
2048.00000000000000000000,1,0.204594,0.0245566
2048.00000000000000000000,2,0.197575,0.0191126
2048.00000000000000000000,3,0.188644,0.0219553
2048.00000000000000000000,4,0.192154,0.0227065
4096.00000000000000000000,1,0.204593,0.0239422
4096.00000000000000000000,2,0.199492,0.0186497
4096.00000000000000000000,3,0.190241,0.0213713
4096.00000000000000000000,4,0.192148,0.0217354
8192.00000000000000000000,1,0.204275,0.0244403
8192.00000000000000000000,2,0.199809,0.0183812
8192.00000000000000000000,3,0.188963,0.0200203
8192.00000000000000000000,4,0.195985,0.0230842
16384.00000000000000000000,1,0.204275,0.0244403
16384.00000000000000000000,2,0.198851,0.0184216
16384.00000000000000000000,3,0.189605,0.0229765
16384.00000000000000000000,4,0.196305,0.0225558
